corpus,partition,population_stratum_min,population_tiles,sample_tiles
dimension_003,train,8,2402,2000
dimension_003,train,16,2383,2000
dimension_003,train,32,2326,2000
dimension_003,train,64,1288,1288
dimension_003,train,96,912,912
dimension_003,train,127,18,18
dimension_003,train,128,17,17
dimension_003,train,129,725,725
dimension_003,train,160,535,535
dimension_003,train,192,543,543
dimension_003,train,224,224,224
dimension_003,train,240,102,102
dimension_003,train,248,52,52
dimension_003,train,252,37,37
dimension_003,train,255,11,11
dimension_003,train,256,11874,2000
dimension_008,train,0,2308268,2000
dimension_008,train,1,6262,2000
dimension_008,train,4,570,570
dimension_008,train,8,582,582
dimension_008,train,16,533,533
dimension_008,train,32,484,484
dimension_008,train,64,330,330
dimension_008,train,96,189,189
dimension_008,train,127,10,10
dimension_008,train,128,6,6
dimension_008,train,129,164,164
dimension_008,train,160,139,139
dimension_008,train,192,120,120
dimension_008,train,224,55,55
dimension_008,train,240,22,22
dimension_008,train,248,12,12
dimension_008,train,252,12,12
dimension_008,train,255,2,2
dimension_008,train,256,10304,2000
dimension_033,train,0,427939,2000
dimension_033,train,1,2049,2000
dimension_033,train,4,1172,1172
dimension_033,train,8,1353,1353
dimension_033,train,16,1706,1706
dimension_033,train,32,1858,1858
dimension_033,train,64,1190,1190
dimension_033,train,96,889,889
dimension_033,train,127,21,21
dimension_033,train,128,22,22
dimension_033,train,129,764,764
dimension_033,train,160,548,548
dimension_033,train,192,600,600
dimension_033,train,224,256,256
dimension_033,train,240,124,124
dimension_033,train,248,66,66
dimension_033,train,252,52,52
dimension_033,train,255,24,24
dimension_033,train,256,11975,2000
msmarco,train,0,64199,2000
msmarco,train,1,55121,2000
msmarco,train,4,32171,2000
msmarco,train,8,38443,2000
msmarco,train,16,40262,2000
msmarco,train,32,32873,2000
msmarco,train,64,26549,2000
msmarco,train,96,27507,2000
msmarco,train,127,853,853
msmarco,train,128,827,827
msmarco,train,129,61196,2000
msmarco,train,160,109848,2000
msmarco,train,192,44893,2000
msmarco,train,224,17712,2000
msmarco,train,240,499,499
msmarco,train,248,7,7
uscensus2000,train,0,564444,2000
uscensus2000,train,1,3975,2000
uscensus2000,train,4,137,137
uscensus2000,train,8,20,20
weather_sept_85,train,0,259615,2000
weather_sept_85,train,1,98875,2000
weather_sept_85,train,4,56774,2000
weather_sept_85,train,8,54222,2000
weather_sept_85,train,16,37490,2000
weather_sept_85,train,32,17351,2000
weather_sept_85,train,64,7288,2000
weather_sept_85,train,96,3765,2000
weather_sept_85,train,127,118,118
weather_sept_85,train,128,122,122
weather_sept_85,train,129,2532,2000
weather_sept_85,train,160,2648,2000
weather_sept_85,train,192,3868,2000
weather_sept_85,train,224,2475,2000
weather_sept_85,train,240,1110,1110
weather_sept_85,train,248,263,263
weather_sept_85,train,252,252,252
weather_sept_85,train,255,135,135
weather_sept_85,train,256,473,473
weather_sept_85_srt,train,0,342571,2000
weather_sept_85_srt,train,1,38495,2000
weather_sept_85_srt,train,4,7515,2000
weather_sept_85_srt,train,8,4368,2000
weather_sept_85_srt,train,16,3495,2000
weather_sept_85_srt,train,32,3104,2000
weather_sept_85_srt,train,64,1785,1785
weather_sept_85_srt,train,96,1140,1140
weather_sept_85_srt,train,127,30,30
weather_sept_85_srt,train,128,30,30
weather_sept_85_srt,train,129,755,755
weather_sept_85_srt,train,160,679,679
weather_sept_85_srt,train,192,787,787
weather_sept_85_srt,train,224,491,491
weather_sept_85_srt,train,240,328,328
weather_sept_85_srt,train,248,200,200
weather_sept_85_srt,train,252,212,212
weather_sept_85_srt,train,255,119,119
weather_sept_85_srt,train,256,29608,2000
wikileaks-noquotes,train,0,430642,2000
wikileaks-noquotes,train,1,7604,2000
wikileaks-noquotes,train,4,16462,2000
wikileaks-noquotes,train,8,8138,2000
wikileaks-noquotes,train,16,2016,2000
wikileaks-noquotes,train,32,199,199
wikileaks-noquotes,train,64,14,14
wikileaks-noquotes,train,96,10,10
wikileaks-noquotes,train,127,1,1
wikileaks-noquotes,train,129,7,7
wikileaks-noquotes,train,160,7,7
wikileaks-noquotes,train,192,6,6
wikileaks-noquotes,train,224,3,3
wikileaks-noquotes,train,240,2,2
wikileaks-noquotes,train,256,41,41
wikileaks-noquotes_srt,train,0,386459,2000
wikileaks-noquotes_srt,train,1,3483,2000
wikileaks-noquotes_srt,train,4,2954,2000
wikileaks-noquotes_srt,train,8,1602,1602
wikileaks-noquotes_srt,train,16,711,711
wikileaks-noquotes_srt,train,32,338,338
wikileaks-noquotes_srt,train,64,35,35
wikileaks-noquotes_srt,train,96,14,14
wikileaks-noquotes_srt,train,129,10,10
wikileaks-noquotes_srt,train,160,11,11
wikileaks-noquotes_srt,train,192,8,8
wikileaks-noquotes_srt,train,224,7,7
wikileaks-noquotes_srt,train,240,3,3
wikileaks-noquotes_srt,train,248,2,2
wikileaks-noquotes_srt,train,256,651,651
