scenario,policy,topology,mode,samples,source,size_bytes,chunk_bytes,mtu,rate_per_s,deadline_us,complete,deadline_pct,usd_per_object,usd_per_GiB,wire_amplification,retries,repairs,duplicates,drops,rejected,peak_active,reserved_payload_bytes,rewrites,delivery_p50_us,delivery_p90_us,delivery_p99_us,delivery_p99.9_us,control_p50_us,control_p90_us,control_p99_us,control_p99.9_us,confirmed_p50_us,confirmed_p90_us,confirmed_p99_us,confirmed_p99.9_us,first_p50_us,first_p90_us,first_p99_us,first_p99.9_us,remote_p50_us,remote_p90_us,remote_p99_us,remote_p99.9_us,max_depth,total_depth
regional-bulk,direct,regional,propagate,96,a0,1048576,65536,1500,100,10000,96,16.666666666666668,0.00014127360000000246,0.14466416640000251,8.98193359375,0,0,0,0,0,6,56623104,0,16014.427978020918,28550.1182523621,36341.08082242596,36420.444753463125,193.59547728381585,208.36480438523722,216.87954144588582,221.11328969418383,16193.9484397724,28732.189683694825,36520.14281109397,36602.60926033835,969.0586986101262,2903.192817029345,6066.779940742581,6737.816046218835,15834.959954453108,28287.17458312569,36056.68213904473,36218.296861703784,1,8
regional-bulk,shortest,regional,propagate,96,a0,1048576,65536,1500,100,10000,96,16.666666666666668,0.00014127360000000246,0.14466416640000251,8.98193359375,0,0,0,0,0,6,56623104,0,16014.427978020918,28550.1182523621,36341.08082242596,36420.444753463125,193.59547728381585,208.36480438523722,216.87954144588582,221.11328969418383,16193.9484397724,28732.189683694825,36520.14281109397,36602.60926033835,969.0586986101262,2903.192817029345,6066.779940742581,6737.816046218835,15834.959954453108,28287.17458312569,36056.68213904473,36218.296861703784,1,8
regional-bulk,cost,regional,propagate,96,a0,1048576,65536,1500,100,10000,96,95.83333333333333,4.714752000000086e-05,0.04827906048000088,8.98193359375,0,0,0,0,0,4,37748736,0,4283.608255450061,7454.061623345886,11922.495540704056,12935.801805650077,188.39775060098327,203.30627900972289,211.10645737877638,213.4614666998186,4468.565422694245,7632.217649634906,12102.332780610997,13114.74428530184,217.9392951449263,907.0182100349775,2361.241703808901,2623.281820062053,3946.442465650296,7119.932606561277,11566.43165241517,12607.095141313002,3,14
regional-bulk,bounded,regional,propagate,96,a0,1048576,65536,1500,100,10000,96,16.666666666666668,0.00014127360000000246,0.14466416640000251,8.98193359375,0,0,0,0,0,6,56623104,0,16014.427978020918,28550.1182523621,36341.08082242596,36420.444753463125,193.59547728381585,208.36480438523722,216.87954144588582,221.11328969418383,16193.9484397724,28732.189683694825,36520.14281109397,36602.60926033835,969.0586986101262,2903.192817029345,6066.779940742581,6737.816046218835,15834.959954453108,28287.17458312569,36056.68213904473,36218.296861703784,1,8
regional-busy,balanced,regional,propagate,96,a0,1048576,65536,1500,300,15000,96,100.0,4.714752000000086e-05,0.04827906048000088,8.98193359375,0,0,0,0,0,4,37748736,0,3660.928049170717,5926.076088405072,7073.452762068887,7866.483258040519,189.58989827350888,212.0051798051245,217.5643935363372,220.79339918891975,3790.1272435945975,6056.078127432822,7205.227764468227,7996.0398654847695,224.5946707727544,694.8942570900854,1474.9291986996016,1620.1464332329126,3190.8349151139355,5252.13857753425,6514.346896425008,7270.879549598211,3,16
regional-busy,latency,regional,propagate,96,a0,1048576,65536,1500,300,15000,96,100.0,4.714752000000086e-05,0.04827906048000088,8.98193359375,0,0,0,0,0,4,37748736,0,3660.928049170717,5926.076088405072,7073.452762068887,7866.483258040519,189.58989827350888,212.0051798051245,217.5643935363372,220.79339918891975,3790.1272435945975,6056.078127432822,7205.227764468227,7996.0398654847695,224.5946707727544,694.8942570900854,1474.9291986996016,1620.1464332329126,3190.8349151139355,5252.13857753425,6514.346896425008,7270.879549598211,3,16
regional-busy,shallow,regional,propagate,96,a0,1048576,65536,1500,300,15000,96,33.333333333333336,4.71475200000009e-05,0.04827906048000092,8.98193359375,0,0,0,0,0,17,160432128,0,23726.57813124353,47783.379460197684,52348.96057537172,53229.52208880858,202.8388019747581,222.78723841998362,234.56996756555088,238.0954247621655,23916.945400319764,47962.11901720747,52532.50559386271,53408.41397856606,1768.3640842185541,3435.7607578436364,5174.970118489019,6357.152576768494,23221.54209483522,47495.65194760052,52073.42783510935,52908.15263553354,2,12
regional-busy,direct,regional,propagate,96,a0,1048576,65536,1500,300,15000,96,1.0416666666666667,0.00014127360000000316,0.14466416640000324,8.98193359375,0,0,0,0,0,29,273678336,0,141751.2803970886,176923.6036619529,180317.83385220976,182488.89064411775,234.76534705142694,264.8976693900404,280.0624067447519,290.69004914592557,141931.47021263692,177102.7782852662,180497.31112970077,182668.0032816509,10829.40073686748,19089.85383474313,24650.996207819873,26777.697202176598,141415.9596636857,176731.0130311483,180134.6042735785,182323.06493094537,1,8
regional-busy,shortest,regional,propagate,96,a0,1048576,65536,1500,300,15000,96,1.0416666666666667,0.00014127360000000316,0.14466416640000324,8.98193359375,0,0,0,0,0,29,273678336,0,141751.2803970886,176923.6036619529,180317.83385220976,182488.89064411775,234.76534705142694,264.8976693900404,280.0624067447519,290.69004914592557,141931.47021263692,177102.7782852662,180497.31112970077,182668.0032816509,10829.40073686748,19089.85383474313,24650.996207819873,26777.697202176598,141415.9596636857,176731.0130311483,180134.6042735785,182323.06493094537,1,8
regional-busy,cost,regional,propagate,96,a0,1048576,65536,1500,300,15000,96,33.333333333333336,4.71475200000009e-05,0.04827906048000092,8.98193359375,0,0,0,0,0,17,160432128,0,23660.680909219227,47836.6381222161,52430.75713295375,53269.826278444234,204.83337080647107,222.837633926516,235.14086575707478,237.32306588816314,23850.958535736037,48015.37767922587,52614.30215144475,53448.71816820171,1768.5456114912813,3435.7593651937277,5174.9701184890055,6357.152576768493,23209.850094835216,47495.68553253253,52073.43760648901,52908.16240691321,3,14
regional-busy,bounded,regional,propagate,96,a0,1048576,65536,1500,300,15000,96,1.0416666666666667,0.00014127360000000316,0.14466416640000324,8.98193359375,0,0,0,0,0,29,273678336,0,141751.2803970886,176923.6036619529,180317.83385220976,182488.89064411775,234.76534705142694,264.8976693900404,280.0624067447519,290.69004914592557,141931.47021263692,177102.7782852662,180497.31112970077,182668.0032816509,10829.40073686748,19089.85383474313,24650.996207819873,26777.697202176598,141415.9596636857,176731.0130311483,180134.6042735785,182323.06493094537,1,8
regional-burst,balanced,regional,propagate,96,a0,1048576,65536,1500,180,15000,96,92.70833333333333,4.714752000000089e-05,0.04827906048000091,8.98193359375,0,0,0,0,0,10,94371840,0,3674.101927046262,13482.985217536596,16341.198896048945,16443.23910168509,190.10120048632234,213.18735501797346,224.24551724605698,226.37401832460705,3802.61758464307,13613.0100044211,16469.12935213988,16572.274453478563,183.8956897223834,975.5960212122081,1505.5595089024239,2161.326797722331,3262.472967499227,12457.280219363434,15356.8269623283,15410.807582406329,3,16
regional-burst,latency,regional,propagate,96,a0,1048576,65536,1500,180,15000,96,92.70833333333333,4.714752000000089e-05,0.04827906048000091,8.98193359375,0,0,0,0,0,10,94371840,0,3674.101927046262,13482.985217536596,16341.198896048945,16443.23910168509,190.10120048632234,213.18735501797346,224.24551724605698,226.37401832460705,3802.61758464307,13613.0100044211,16469.12935213988,16572.274453478563,183.8956897223834,975.5960212122081,1505.5595089024239,2161.326797722331,3262.472967499227,12457.280219363434,15356.8269623283,15410.807582406329,3,16
regional-burst,shallow,regional,propagate,96,a0,1048576,65536,1500,180,15000,96,55.208333333333336,4.714752000000098e-05,0.048279060480001,8.98193359375,0,0,0,0,0,16,150994944,0,9672.100127548118,45636.13642666704,48173.54951619881,48888.54736901773,200.2399769132753,220.54278675985884,236.18618160463302,236.82365590226584,9854.185088775335,45815.45598994248,48351.80842862606,49070.99692347364,843.1667102122592,4507.1746463250165,7556.043327911398,7580.97086875425,9387.998964066304,45266.70039077167,47913.99066635077,48507.39773329267,2,12
regional-burst,direct,regional,propagate,96,a0,1048576,65536,1500,180,15000,96,14.583333333333334,0.0001412736000000032,0.14466416640000326,8.98193359375,0,0,0,0,0,17,160432128,0,57475.899923873905,111320.21683508129,113139.94521670426,113389.8009296319,204.51580075851234,224.79319578161812,240.16743690264994,241.57591580620854,57658.036845171315,111498.84750676595,113322.18638879698,113568.0435046985,3843.7040515869903,24073.75733925456,32453.589953273833,34040.54855574833,56899.68439361596,111207.96229233622,113064.5301869816,113311.28742254843,1,8
regional-burst,shortest,regional,propagate,96,a0,1048576,65536,1500,180,15000,96,14.583333333333334,0.0001412736000000032,0.14466416640000326,8.98193359375,0,0,0,0,0,17,160432128,0,57475.899923873905,111320.21683508129,113139.94521670426,113389.8009296319,204.51580075851234,224.79319578161812,240.16743690264994,241.57591580620854,57658.036845171315,111498.84750676595,113322.18638879698,113568.0435046985,3843.7040515869903,24073.75733925456,32453.589953273833,34040.54855574833,56899.68439361596,111207.96229233622,113064.5301869816,113311.28742254843,1,8
regional-burst,cost,regional,propagate,96,a0,1048576,65536,1500,180,15000,96,55.208333333333336,4.714752000000098e-05,0.048279060480001,8.98193359375,0,0,0,0,0,16,150994944,0,9715.469051009186,45628.00481044267,48240.15264096568,48809.52946352162,199.08749969408382,219.50505629488907,232.8531318772555,234.93506290241177,9904.147592702611,45807.324373718104,48418.411553392936,48991.97901797754,843.1667102122592,4507.1746463250165,7556.045755595522,7580.971111522662,9387.998964066304,45262.38164552998,47912.16346892392,48474.293414436266,3,14
regional-burst,bounded,regional,propagate,96,a0,1048576,65536,1500,180,15000,96,14.583333333333334,0.0001412736000000032,0.14466416640000326,8.98193359375,0,0,0,0,0,17,160432128,0,57475.899923873905,111320.21683508129,113139.94521670426,113389.8009296319,204.51580075851234,224.79319578161812,240.16743690264994,241.57591580620854,57658.036845171315,111498.84750676595,113322.18638879698,113568.0435046985,3843.7040515869903,24073.75733925456,32453.589953273833,34040.54855574833,56899.68439361596,111207.96229233622,113064.5301869816,113311.28742254843,1,8
regional-whole-object,balanced,regional,propagate,96,a0,1048576,1048576,1500,100,10000,96,90.625,4.708351999999986e-05,0.04821352447999986,8.9697265625,0,0,0,0,0,4,37748736,0,6347.9178809187215,9705.34387508774,13046.044448334413,14152.447161173097,188.75295257116795,422.55597736575146,549.7018376513378,736.2427048951182,6530.626601050399,9937.357221551472,13223.955869722955,14331.19705897302,2678.347692452742,5091.833993608714,7968.240599338167,8611.204358458013,3494.9269430336353,5677.677817850126,8300.762075081399,8980.383209453763,2,13
regional-whole-object,latency,regional,propagate,96,a0,1048576,1048576,1500,100,10000,96,90.625,4.708351999999986e-05,0.04821352447999986,8.9697265625,0,0,0,0,0,4,37748736,0,6347.9178809187215,9705.34387508774,13046.044448334413,14152.447161173097,188.75295257116795,422.55597736575146,549.7018376513378,736.2427048951182,6530.626601050399,9937.357221551472,13223.955869722955,14331.19705897302,2678.347692452742,5091.833993608714,7968.240599338167,8611.204358458013,3494.9269430336353,5677.677817850126,8300.762075081399,8980.383209453763,2,13
regional-whole-object,shallow,regional,propagate,96,a0,1048576,1048576,1500,100,10000,96,72.91666666666667,4.708351999999986e-05,0.04821352447999986,8.9697265625,0,0,0,0,0,4,37748736,0,7296.948169414434,11477.972396414087,16662.321625711822,18052.171917742566,188.7448924851733,459.84269675664837,548.9058702530722,648.3964670661649,7642.984050903873,11656.239605164592,16842.158865618767,18231.11439739433,2963.0545531450043,6859.396332512093,10750.175070335279,12405.96991819944,4498.734673875646,7609.864899312597,12159.770852596355,13135.057224174147,2,12
regional-whole-object,direct,regional,propagate,96,a0,1048576,1048576,1500,100,10000,96,13.541666666666666,0.00014108160000000038,0.1444675584000004,8.9697265625,0,0,0,0,0,6,56623104,0,17382.590560654324,29773.70724696908,37096.51424942334,37671.52754995187,193.89038170751883,435.64910910032813,530.9248990096064,541.8714259280371,17561.1413780289,30047.518550154167,37278.84204673051,37850.75282905184,14127.287011657842,26582.30881037926,33451.057817915214,33795.67990950759,15085.277689738534,27434.71247547681,34598.25426359612,34655.50167798472,1,8
regional-whole-object,shortest,regional,propagate,96,a0,1048576,1048576,1500,100,10000,96,13.541666666666666,0.00014108160000000038,0.1444675584000004,8.9697265625,0,0,0,0,0,6,56623104,0,17382.590560654324,29773.70724696908,37096.51424942334,37671.52754995187,193.89038170751883,435.64910910032813,530.9248990096064,541.8714259280371,17561.1413780289,30047.518550154167,37278.84204673051,37850.75282905184,14127.287011657842,26582.30881037926,33451.057817915214,33795.67990950759,15085.277689738534,27434.71247547681,34598.25426359612,34655.50167798472,1,8
regional-whole-object,cost,regional,propagate,96,a0,1048576,1048576,1500,100,10000,96,69.79166666666667,4.708351999999986e-05,0.04821352447999986,8.9697265625,0,0,0,0,0,4,37748736,0,8048.55162331801,11521.511149875747,16033.948804508333,16757.763852311702,188.6882001576887,454.13367440511865,558.0683399530564,814.2371686358898,8488.080156658954,11844.355400920824,16213.786044415276,16936.70633196347,2963.164825759678,6858.869703940662,10749.68867033529,12405.921278199441,4498.734673875646,7609.864899312597,12159.770852596355,13135.057224174147,3,14
regional-whole-object,bounded,regional,propagate,96,a0,1048576,1048576,1500,100,10000,96,13.541666666666666,0.00014108160000000038,0.1444675584000004,8.9697265625,0,0,0,0,0,6,56623104,0,17382.590560654324,29773.70724696908,37096.51424942334,37671.52754995187,193.89038170751883,435.64910910032813,530.9248990096064,541.8714259280371,17561.1413780289,30047.518550154167,37278.84204673051,37850.75282905184,14127.287011657842,26582.30881037926,33451.057817915214,33795.67990950759,15085.277689738534,27434.71247547681,34598.25426359612,34655.50167798472,1,8
regional-4k-chunks,balanced,regional,propagate,96,a0,1048576,4096,1500,100,10000,96,100.0,4.8581119999985054e-05,0.049747066879984696,9.25537109375,0,0,0,0,0,3,28311552,0,2175.1406755325443,2944.283536716255,4932.798840377167,4937.168833262334,187.75203836575747,191.62863739657405,195.95566019068136,197.15405871993582,2355.551560875145,3123.225285149296,5110.674289419892,5115.267631602974,46.01118268002756,120.86227835389855,1219.6733168508542,1482.190064909978,2120.880996911037,2884.6105889425235,4873.53599514527,4881.876640771862,3,16
regional-4k-chunks,latency,regional,propagate,96,a0,1048576,4096,1500,100,10000,96,100.0,4.8581119999985054e-05,0.049747066879984696,9.25537109375,0,0,0,0,0,3,28311552,0,2175.1406755325443,2944.283536716255,4932.798840377167,4937.168833262334,187.75203836575747,191.62863739657405,195.95566019068136,197.15405871993582,2355.551560875145,3123.225285149296,5110.674289419892,5115.267631602974,46.01118268002756,120.86227835389855,1219.6733168508542,1482.190064909978,2120.880996911037,2884.6105889425235,4873.53599514527,4881.876640771862,3,16
regional-4k-chunks,shallow,regional,propagate,96,a0,1048576,4096,1500,100,10000,96,95.83333333333333,4.858111999998504e-05,0.04974706687998468,9.25537109375,0,0,0,0,0,3,28311552,0,4242.650715959084,7342.474946537099,10868.450142573449,12820.06084493789,188.58221197808774,192.2760677564438,196.03533158650606,198.59611098436287,4423.491696061596,7520.846244062021,11048.28738248039,12999.003324589654,47.87491400597111,1505.088595190362,3806.743543329425,4071.1650205707206,4145.090159886313,7249.420905080115,10770.198184032739,12729.526370901052,2,12
regional-4k-chunks,direct,regional,propagate,96,a0,1048576,4096,1500,100,10000,96,14.583333333333334,0.00014557439999997353,0.1490681855999729,9.25537109375,0,0,0,0,0,6,56623104,0,16754.43068273533,30076.349035587526,37769.72063611403,40948.361637846065,192.95287023445508,199.97950261634833,203.6174175895765,205.74623145434208,16934.194495403397,30255.559752952322,37952.67787451484,41130.91566969456,162.28795362552228,4765.070850523805,9284.419634231304,9673.875832256277,16683.804074571366,30004.434036143168,37705.415915888334,40877.024508515955,1,8
regional-4k-chunks,shortest,regional,propagate,96,a0,1048576,4096,1500,100,10000,96,14.583333333333334,0.00014557439999997353,0.1490681855999729,9.25537109375,0,0,0,0,0,6,56623104,0,16754.43068273533,30076.349035587526,37769.72063611403,40948.361637846065,192.95287023445508,199.97950261634833,203.6174175895765,205.74623145434208,16934.194495403397,30255.559752952322,37952.67787451484,41130.91566969456,162.28795362552228,4765.070850523805,9284.419634231304,9673.875832256277,16683.804074571366,30004.434036143168,37705.415915888334,40877.024508515955,1,8
regional-4k-chunks,cost,regional,propagate,96,a0,1048576,4096,1500,100,10000,96,95.83333333333333,4.858111999998504e-05,0.04974706687998468,9.25537109375,0,0,0,0,0,3,28311552,0,4274.490448549244,7377.969947974794,10911.700569532224,12853.919436931435,188.53953917717445,192.2760677564438,196.03533158650606,198.59611098436287,4457.629070088122,7556.341245499716,11091.537809439167,13032.861916583199,47.87491400597111,1505.088595190362,3806.743543329425,4071.1650205707206,4145.090159886313,7249.420905080115,10770.198184032739,12729.526370901052,3,14
regional-4k-chunks,bounded,regional,propagate,96,a0,1048576,4096,1500,100,10000,96,14.583333333333334,0.00014557439999997353,0.1490681855999729,9.25537109375,0,0,0,0,0,6,56623104,0,16754.43068273533,30076.349035587526,37769.72063611403,40948.361637846065,192.95287023445508,199.97950261634833,203.6174175895765,205.74623145434208,16934.194495403397,30255.559752952322,37952.67787451484,41130.91566969456,162.28795362552228,4765.070850523805,9284.419634231304,9673.875832256277,16683.804074571366,30004.434036143168,37705.415915888334,40877.024508515955,1,8
regional-jumbo,balanced,regional,propagate,96,a0,1048576,65536,9000,100,10000,96,100.0,4.2846720000000494e-05,0.043875041280000505,8.16162109375,0,0,0,0,0,3,28311552,0,2209.5874572028915,3414.252752051427,4741.282651191046,5064.303573963476,187.7317944056449,195.96068717933667,205.25245936772663,206.50732050729172,2340.016003046505,3554.9321445828245,4874.924964540676,5195.266173195645,161.04173783730948,279.94235120715894,685.7597117083455,710.3484283180151,1933.939718387308,3017.5034039025486,4242.576010402665,4541.811907008993,3,16
regional-jumbo,latency,regional,propagate,96,a0,1048576,65536,9000,100,10000,96,100.0,4.2846720000000494e-05,0.043875041280000505,8.16162109375,0,0,0,0,0,3,28311552,0,2209.5874572028915,3414.252752051427,4741.282651191046,5064.303573963476,187.7317944056449,195.96068717933667,205.25245936772663,206.50732050729172,2340.016003046505,3554.9321445828245,4874.924964540676,5195.266173195645,161.04173783730948,279.94235120715894,685.7597117083455,710.3484283180151,1933.939718387308,3017.5034039025486,4242.576010402665,4541.811907008993,3,16
regional-jumbo,shallow,regional,propagate,96,a0,1048576,65536,9000,100,10000,96,97.91666666666667,4.284672000000049e-05,0.0438750412800005,8.16162109375,0,0,0,0,0,4,37748736,0,3819.336455033539,6495.973802745197,10573.94897581182,11329.075774771434,187.86462283325454,196.06579722683819,212.20669634918374,216.5670194087393,4002.2040912523225,6674.345100270119,10753.786215718761,11508.0182544232,207.6488715889136,533.3894100344623,1644.675885626213,1906.7160018825875,3591.530663956879,6269.678256333558,10262.877318429306,11035.024295326677,2,12
regional-jumbo,direct,regional,propagate,96,a0,1048576,65536,9000,100,10000,96,34.375,0.00012837119999999162,0.13145210879999142,8.16162109375,0,0,0,0,0,5,47185920,0,12297.415556788328,23033.910998638752,28873.257480656397,30026.594705815667,191.16033876508027,208.3008476049281,213.83660910602774,218.0202143692686,12482.336454162549,23217.023885031285,29055.166870437064,30218.71124953981,879.6451693701893,2169.7277962815715,4625.168310644881,5003.928612548596,11894.099265166064,22902.66096883566,28733.982280776472,29830.72587148288,1,8
regional-jumbo,shortest,regional,propagate,96,a0,1048576,65536,9000,100,10000,96,34.375,0.00012837119999999162,0.13145210879999142,8.16162109375,0,0,0,0,0,5,47185920,0,12297.415556788328,23033.910998638752,28873.257480656397,30026.594705815667,191.16033876508027,208.3008476049281,213.83660910602774,218.0202143692686,12482.336454162549,23217.023885031285,29055.166870437064,30218.71124953981,879.6451693701893,2169.7277962815715,4625.168310644881,5003.928612548596,11894.099265166064,22902.66096883566,28733.982280776472,29830.72587148288,1,8
regional-jumbo,cost,regional,propagate,96,a0,1048576,65536,9000,100,10000,96,97.91666666666667,4.284672000000049e-05,0.0438750412800005,8.16162109375,0,0,0,0,0,4,37748736,0,3885.717599234602,6563.255517154845,10583.386939673821,11359.601926161302,188.10952302582155,199.35541356573594,207.98969089015225,211.55550511593566,4068.43162602341,6741.6268146797665,10763.224179580764,11538.544405813067,207.6488715889136,533.3894100344623,1644.675885626213,1906.7160018825875,3591.530663956879,6269.678256333558,10262.877318429304,11035.024295326664,3,14
regional-jumbo,bounded,regional,propagate,96,a0,1048576,65536,9000,100,10000,96,34.375,0.00012837119999999162,0.13145210879999142,8.16162109375,0,0,0,0,0,5,47185920,0,12297.415556788328,23033.910998638752,28873.257480656397,30026.594705815667,191.16033876508027,208.3008476049281,213.83660910602774,218.0202143692686,12482.336454162549,23217.023885031285,29055.166870437064,30218.71124953981,879.6451693701893,2169.7277962815715,4625.168310644881,5003.928612548596,11894.099265166064,22902.66096883566,28733.982280776472,29830.72587148288,1,8
regional-slow-root,balanced,regional,propagate,96,a0,1048576,65536,1500,100,20000,96,100.0,4.714752000000086e-05,0.04827906048000088,8.98193359375,0,0,0,0,0,4,37748736,0,4456.003230262344,7839.14619197587,12657.979735413912,12744.136623237175,190.86699109023903,205.950542543942,217.72785723557027,218.32246065864587,4586.16323591464,7967.133699878033,12785.798041457832,12873.297561045883,319.49372307833255,555.7955510154197,905.3982560042623,1011.4891878773025,4198.040883930575,7579.90793652096,12404.574807658055,12490.468387590441,4,22
regional-slow-root,latency,regional,propagate,96,a0,1048576,65536,1500,100,20000,96,100.0,4.714752000000086e-05,0.04827906048000088,8.98193359375,0,0,0,0,0,4,37748736,0,4456.003230262344,7839.14619197587,12657.979735413912,12744.136623237175,190.86699109023903,205.950542543942,217.72785723557027,218.32246065864587,4586.16323591464,7967.133699878033,12785.798041457832,12873.297561045883,319.49372307833255,555.7955510154197,905.3982560042623,1011.4891878773025,4198.040883930575,7579.90793652096,12404.574807658055,12490.468387590441,4,22
regional-slow-root,shallow,regional,propagate,96,a0,1048576,65536,1500,100,20000,96,0.0,4.7147520000000966e-05,0.04827906048000099,8.98193359375,0,0,0,0,0,25,235929600,0,149239.68252779922,281238.21344844537,292615.07712913625,292662.41104770964,244.86950456204795,292.5677058077126,328.985783410001,335.8595851278695,149432.15606892254,281416.4774463782,292794.68645910185,292843.0621207378,9116.129678800338,17776.524258233956,23670.196762645428,24461.848920631714,148964.3310459757,280973.8774956276,292353.82199079124,292396.8675574448,2,12
