dataset,id,group,status,reason,pattern,like,mandatory,branches,rows,bytes,hits,like_pass,literal_pass,rich_pass,survivor_bytes,bounded_bytes,bounded_rows,intervals,bounds_re2_calls,false_negatives,exact_mismatches,bounds_mismatches
uap,device_parsers:574,device_parsers,signature,character-class;optional-repeat;branch-budget,"LGE; (?:Media\/|)([^;]{0,200});[^;]{0,200};[^;]{0,200};?\); ""?LG NetCast(\.TV|\.Media|)-\d+",'%-_%%' ESCAPE '!',-,1,18213,1919759,43,12571,12572,3573,1372691,1372691,0,12571,12571,0,0,0
uap,user_agent_parsers:397,user_agent_parsers,signature,character-class,(AppleWebKit)/(\d+)\.(\d+)\.(\d+),'%AppleWebKit/_%._%._%%' ESCAPE '!',AppleWebKit/,1,18213,1919759,129,9037,9286,129,1314351,715851,9037,9037,9037,0,0,0
uap,os_parsers:25,os_parsers,signature,character-class,(Android) (\d+);,'%Android _%;%' ESCAPE '!',Android ,1,18213,1919759,62,8789,9147,62,1257634,1066008,8727,8789,8789,0,0,0
uap,device_parsers:397,device_parsers,signature,character-class;branch-budget,"; {0,2}(C(?:1[0-9]|2[0-9]|53|55|6[0-9])[0-9]{2}|D[25]\d{3}|D6[56]\d{2})(?: Build|\) AppleWebKit)",'%;% Build%' ESCAPE '!' OR '%;%) AppleWebKit%' ESCAPE '!' OR '%; % Build%' ESCAPE '!' OR '%; %) AppleWebKit%' ESCAPE '!' OR '%;  % Build%' ESCAPE '!' OR '%;  %) AppleWebKit%' ESCAPE '!',;,6,18213,1919759,44,9411,12268,1658,1362322,301297,9411,11195,11154,0,0,0
uap,device_parsers:319,device_parsers,signature,branch-budget,"; {0,2}(HD1903|GM1917|IN2025|LE2115|LE2127|HD1907|BE2012|BE2025|BE2026|BE2028|BE2029|DE2117|DE2118|EB2101|GM1900|GM1910|GM1915|HD1905|HD1925|IN2015|IN2017|IN2019|KB2005|KB2007|LE2117|LE2125|BE2015|GM1903|HD1900|HD1901|HD1910|HD1913|IN2010|IN2013|IN2020|LE2111|LE2120|LE2121|LE2123|BE2011|IN2023|KB2003|LE2113|NE2215|DN2101)(?: Build|\) AppleWebKit)",'%;% Build%' ESCAPE '!' OR '%;%) AppleWebKit%' ESCAPE '!' OR '%; % Build%' ESCAPE '!' OR '%; %) AppleWebKit%' ESCAPE '!' OR '%;  % Build%' ESCAPE '!' OR '%;  %) AppleWebKit%' ESCAPE '!',;,6,18213,1919759,2,9411,12268,2160,1362322,312492,9411,11139,11138,0,0,0
uap,device_parsers:309,device_parsers,signature,character-class;branch-budget,"; {0,2}(Find ?(?:5|7a)|R8[012]\d{1,2}|T703\d?|U70\d{1,2}T?|X90\d{1,2}|[AFR]\d{1,2}[a-z]{1,2})(?: Build|\) AppleWebKit)",'%;% Build%' ESCAPE '!' OR '%;%) AppleWebKit%' ESCAPE '!' OR '%; % Build%' ESCAPE '!' OR '%; %) AppleWebKit%' ESCAPE '!' OR '%;  % Build%' ESCAPE '!' OR '%;  %) AppleWebKit%' ESCAPE '!',;,6,18213,1919759,45,9411,12268,2827,1362322,323631,9411,11101,11097,0,0,0
uap,user_agent_parsers:2,user_agent_parsers,exact,,ArcGIS Client Using WinInet,'%ArcGIS Client Using WinInet%' ESCAPE '!',ArcGIS Client Using WinInet,1,18213,1919759,1,1,1,1,0,0,0,0,0,0,0,0
uap,user_agent_parsers:23,user_agent_parsers,exact,,(espn\.go),'%espn.go%' ESCAPE '!',espn.go,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:24,user_agent_parsers,exact,,(espnradio\.com),'%espnradio.com%' ESCAPE '!',espnradio.com,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:25,user_agent_parsers,exact,,ESPN APP$,'%ESPN APP' ESCAPE '!',ESPN APP,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:26,user_agent_parsers,exact,,(audioboom\.com),'%audioboom.com%' ESCAPE '!',audioboom.com,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:27,user_agent_parsers,exact,, (Rivo) RHYTHM,'% Rivo RHYTHM%' ESCAPE '!', Rivo RHYTHM,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:33,user_agent_parsers,exact,,X11; (Datanyze); Linux,'%X11; Datanyze; Linux%' ESCAPE '!',X11; Datanyze; Linux,1,18213,1919759,3,3,3,3,0,0,0,0,0,0,0,0
uap,user_agent_parsers:39,user_agent_parsers,exact,,(\(StatusCake\)),'%(StatusCake)%' ESCAPE '!',(StatusCake),1,18213,1919759,2,2,2,2,0,0,0,0,0,0,0,0
